entrez_id	tissue_group	group_mean	group_variance	log2_variance	mean_bin
5275	normal	2.37280086717647	0.020152290479272	-5.63291236713614	6
5276	normal	2.42977645358824	0.0757836270250099	-3.72197000049852	8
5277	normal	4.97281138670588	0.258589730879647	-1.95126311093476	19
5279	normal	7.30129044094118	0.279177658037627	-1.84074460437145	26
528	normal	7.07045548205882	0.327412676172477	-1.61081791633386	25
5281	normal	5.47695026947059	1.75929457887481	0.814997070018277	20
5283	normal	4.655671898	0.4652114447577	-1.10404150561691	18
5284	normal	2.34554069635294	0.0182102469802423	-5.77910570047731	4
5286	normal	8.73595902476471	1.24036506485028	0.310764797818237	28
5287	normal	7.80481675635294	0.892652550416428	-0.163829354403864	27
5288	normal	2.47902792629412	0.388006603043845	-1.36584689067715	9
5289	normal	8.19157910194118	0.0591049221410457	-4.08057790957862	28
529	normal	9.27169275382353	0.417508136355802	-1.26012378193352	29
5290	normal	6.37388609435294	1.5985433901641	0.676757904534441	23
5291	normal	7.98831850535294	0.972496368158708	-0.0402352326026259	27
5292	normal	6.70577336717647	1.0391964527721	0.0554684113633716	24
5293	normal	6.48262807329412	1.30184556647872	0.380558316637338	23
5294	normal	5.81338048735294	1.80520373236764	0.85216166652517	21
5295	normal	9.48364689341176	1.53122869634422	0.614689772348775	29
5296	normal	5.82149184764706	0.672021486447142	-0.573420734063119	21
5297	normal	5.03631520682353	0.622108511998043	-0.684761848828146	19
5298	normal	4.90040012064706	0.522499660306664	-0.936497995634608	19
53	normal	6.23874420247059	0.745818894169245	-0.423102748863242	23
5300	normal	7.525277482	1.1789082736655	0.237451472112471	26
5301	normal	3.49210648611765	0.178344833535219	-2.48725867185572	15
5303	normal	2.31352339329412	8.61202837952848e-06	-16.8252154956461	1
5304	normal	8.17564219194118	17.0713457096517	4.09350488331266	27
5305	normal	7.02306619158824	0.573317629418334	-0.80259345254479	25
5306	normal	5.56455262688235	0.634508177917937	-0.656289336391319	21
5307	normal	2.312811642	0	-26.5754247590989	1
5308	normal	2.57756774458824	0.16126939146436	-2.63245545039831	11
5309	normal	2.69014544223529	0.270583044534361	-1.88585665591508	11
5310	normal	6.13551174082353	0.185032869317585	-2.43414652041962	22
5311	normal	7.57562024064706	1.97552158313698	0.982233608256658	26
5313	normal	2.44606749776471	0.0558351125880119	-4.16268352605002	8
5314	normal	2.31618890411765	0.000188997448954522	-12.3693456181481	2
5315	normal	6.70433652	0.704874824780396	-0.50456101567753	24
5316	normal	4.90692739705882	0.31738885871602	-1.6556766086716	19
5317	normal	2.93253957094118	0.108121228420616	-3.20927828661222	13
5318	normal	4.49583111705882	0.742282550173068	-0.429959641005349	17
5319	normal	2.40154236847059	0.0517112247066824	-4.27337871637222	7
5320	normal	7.61361968464706	2.39975789322332	1.26288886255676	26
5321	normal	6.90573381188235	3.44710806637851	1.78538652771142	24
5322	normal	2.94056063923529	0.716358374250992	-0.481246586438982	13
5324	normal	2.97954586517647	0.473176097039263	-1.07955089854254	13
5325	normal	8.59175239129412	1.24212201803438	0.312806901550788	28
5326	normal	3.619942382	0.313804584037968	-1.67206166762743	15
5327	normal	6.53612863682353	3.16526552536215	1.66232652842307	23
5328	normal	6.29060826741176	1.45159081207429	0.537634830339357	23
5329	normal	4.62213451882353	0.617919404845053	-0.69450941503093	18
533	normal	7.63238754	0.939150393427702	-0.0905718885751837	26
5330	normal	5.54947895905882	0.0906964388512634	-3.46281028458305	21
5332	normal	4.43371019982353	0.614194583188213	-0.703232306184717	17
5333	normal	7.148662247	0.282929915337442	-1.8214833680393	25
53335	normal	3.05101178017647	1.36949899143206	0.45364820357049	13
