diagnostic_set	entrez_id	symbol_at_run	representative_probe_id	raw_normal_mean	raw_cancer_mean	raw_cancer_minus_normal	log2FC	ci95_low	ci95_high	bh_fdr	treat_bh_fdr	s1_log2FC	s2_log2FC	qc_candidate_exclusion_log2FC	median_collapse_log2FC	constituent_same_direction_fraction	raw_and_adjusted_direction_concordant
predefined_top10_each_direction_by_TREAT_FDR	284825	LINC01697	237351_at	6.52921391470588	2.37255918272115	-4.15665473198473	-3.68136129999681	-4.14629671696697	-3.21642588302664	1.64365180343161e-25	2.05784531212036e-23	-4.15665473198473	-3.68136129999681	-4.40308592616713	-3.68136129999681	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	10894	LYVE1	219059_s_at	6.82889616435294	2.38558112675962	-4.44331503759333	-4.04682160990535	-4.59711412234989	-3.49652909746081	1.811007715936e-23	1.20044873520245e-21	-4.44331503759333	-4.04682160990535	-4.87604339116504	-3.23119397742006	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	1149	CIDEA	221295_at	6.37905411688235	2.44895717114423	-3.93009694573812	-3.71082518072047	-4.22083950146353	-3.2008108599774	2.19199556539581e-23	1.96608393158271e-21	-3.93009694573813	-3.71082518072047	-4.26302085127722	-3.71082518072047	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	8676	STX11	235670_at	6.04291108223529	2.45324133973077	-3.58966974250453	-3.40624614192102	-3.87131336198444	-2.94117892185759	1.811007715936e-23	1.96608393158271e-21	-3.58966974250453	-3.40624614192101	-3.81406776986043	-1.90692826872894	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	54988	ACSM5	220061_at	6.72925786176471	3.11550033970192	-3.61375752206278	-3.56232131679277	-4.05355553113326	-3.07108710245227	2.22870413998953e-23	2.41550934400355e-21	-3.61375752206279	-3.56232131679277	-3.83493688729356	-3.78395815704759	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	30819	KCNIP2	223727_at	7.92951886476471	3.49539365615385	-4.43412520861086	-3.85505924062103	-4.41464738348069	-3.29547109776137	4.67242992566094e-22	3.4222059033443e-20	-4.43412520861086	-3.85505924062103	-4.51614424041487	-0.301486735470391	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	206338	LVRN	235382_at	6.56646226735294	2.42087920588462	-4.14558306146833	-3.76674817799134	-4.31322456370195	-3.22027179228073	4.67242992566094e-22	3.4222059033443e-20	-4.14558306146833	-3.76674817799134	-4.52450514815118	-3.76674817799134	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	92293	TMEM132C	232313_at	8.35857130958824	4.55963956495192	-3.79893174463631	-3.32128087254965	-3.79834979165067	-2.84421195344862	3.36890386009243e-22	3.4222059033443e-20	-3.79893174463632	-3.32128087254965	-3.8801495028271	-3.32128087254965	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	2819	GPD1	204997_at	7.89925556717647	2.52034795518269	-5.37890761199378	-4.82381676595683	-5.54242060970727	-4.10521292220638	2.08693174729524e-21	5.85772961399875e-20	-5.37890761199378	-4.82381676595682	-5.65686398697173	-2.78452312410833	1	TRUE
predefined_top10_each_direction_by_TREAT_FDR	126	ADH1C	206262_at	7.20838816864706	2.61213867850962	-4.59624949013744	-4.0870245117581	-4.6910210434653	-3.4830279800509	1.31828552864983e-21	6.18497707116089e-20	-4.59624949013744	-4.0870245117581	-4.98154416731819	-4.0870245117581	1	TRUE
fixed_breast_context_sanity_only	1149	CIDEA	221295_at	6.37905411688235	2.44895717114423	-3.93009694573812	-3.71082518072047	-4.22083950146353	-3.2008108599774	2.19199556539581e-23	1.96608393158271e-21	-3.93009694573813	-3.71082518072047	-4.26302085127722	-3.71082518072047	1	TRUE
fixed_breast_context_sanity_only	4072	EPCAM	201839_s_at	6.76767320494118	11.9241180025577	5.15644479761652	5.24769523100806	4.17028711211769	6.32510334989843	4.24321184454382e-14	3.45316524914507e-13	5.15644479761652	5.24769523100806	4.68470857063924	5.24769523100806	1	TRUE
fixed_breast_context_sanity_only	991	CDC20	202870_s_at	3.46712269123529	7.28838652201923	3.82126383078394	3.14829341411267	2.237032936849	4.05955389137634	1.73132562981602e-08	1.70038557799711e-07	3.82126383078394	3.14829341411267	3.49861025232265	3.14829341411267	1	TRUE
fixed_breast_context_sanity_only	9370	ADIPOQ	207175_at	11.7169958827059	6.23624294627885	-5.48075293642704	-4.44641238559701	-6.05087114267765	-2.84195362851636	5.22646566088934e-06	1.55504021239962e-05	-5.48075293642704	-4.44641238559701	-5.23699678614238	-4.44641238559701	1	TRUE
fixed_breast_context_sanity_only	2064	ERBB2	216836_s_at	4.605713067	7.73060486951923	3.12489180251923	2.91970300975886	1.7981325740486	4.04127344546912	1.88691825589486e-05	8.5433998785313e-05	3.12489180251923	2.91970300975886	2.5699748567076	1.45623985192063	0.5	TRUE
fixed_breast_context_sanity_only	2099	ESR1	205225_at	7.25750721464706	9.00543234397116	1.7479251293241	3.19131862619166	1.18138266898983	5.20125458339349	0.0116685420904654	0.0237568905088961	1.7479251293241	3.19131862619165	2.55003103339321	0.197183668565987	0.6	TRUE
fixed_breast_context_sanity_only	4288	MKI67	212022_s_at	5.11678456252941	6.55242803158654	1.43564346905713	0.912666539255131	0.126151268703673	1.69918180980659	0.0774538774888097	0.255423742208748	1.43564346905713	0.912666539255132	1.49560740519011	0.731453554696328	1	TRUE
fixed_breast_context_sanity_only	5241	PGR	228554_at	5.03617463452941	5.64010713607692	0.603932501547511	1.74542616384933	-0.0717280043030952	3.56258033200175	0.158491735646444	0.309634235831052	0.603932501547512	1.74542616384933	1.36930155113594	0.337640559179716	1	TRUE
