gsm_id	tissue_group	processing_run_proxy	sample_median	sample_iqr	sample_mad	q01	q99	dynamic_range	sample_median_robust_z	sample_iqr_robust_z	sample_mad_robust_z	q01_robust_z	q99_robust_z	dynamic_range_robust_z	median_pearson_correlation	correlation_connectivity	median_correlation_robust_z	connectivity_robust_z	robust_pca_distance	robust_pca_cutoff	pca_distance_method	distribution_flag	correlation_flag	pca_flag	raw_evidence_flag	independent_signal_count	candidate_exclusion_review
GSM1045202	normal	2005-01-25	2.742207671	3.3656149335	0.6366225525954	2.312811642	11.8606185002	12.997427948	-1.03158049861142	0.543237863485362	-1.03158049861142	0	1.92091405974907	-0.474141594967935	0.871734712834216	104.936951042565	-1.79899576330098	-1.22293410683678	121.374774473406	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045203	normal	2004-12-22	2.91562371	2.97980989	0.893729172016801	2.312811642	11.346640153	13.033913528	2.54360463586243	-2.01741907209034	2.54360463586243	0	-0.356563403791489	-0.248025523995984	0.867097524640914	104.707258373837	-2.02213558758209	-1.31303837621272	118.064132576793	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045204	normal	2004-12-14	2.77273412	3.2912100145	0.6818810658828	2.312811642	11.8031019384	13.217399248	-0.40224017171655	0.0493991356401772	-0.40224017171655	0	1.66605376457628	0.889110574316297	0.850245631457868	102.923786184763	-2.83304261289969	-2.01266217978882	162.824822289485	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045205	normal	2004-12-21	2.765167614	3.286922504	0.670662964087201	2.312811642	11.806370233	13.110306118	-0.558233007944961	0.0209421631792109	-0.55823300794496	0	1.68053582853137	0.22541061987707	0.858031462315478	103.725368944718	-2.45839123861242	-1.69821579658387	156.38253466937	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045206	normal	2005-01-25	2.849768589	2.979128083	0.7960923696222	2.312811642	11.5604489264	13.263710708	1.18592024296624	-2.02194434684422	1.18592024296624	0	0.590839664019672	1.1761216448865	0.849893494584754	102.889152833133	-2.84998731229818	-2.02624821569476	169.64504587965	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045207	normal	2005-01-25	2.77559316	3.135844564	0.6861198785868	2.312811642	11.730534997	13.202808158	-0.343297542385323	-0.981789090315894	-0.343297542385323	0	1.3445040834721	0.798683618187378	0.847045894885246	102.743760450065	-2.98701278335601	-2.08328301145808	185.532869376444	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045208	cancer	2004-12-21	2.795347681	3.266223724	0.7154079314214	2.312811642	11.3589220172	12.993253038	0.0639662275930179	-0.116439334180493	0.0639662275930177	0	-0.302141521861748	-0.500015220818517	0.92360893668876	109.79388462165	0.697173189328591	0.682352875003106	4.63727277269972	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045209	cancer	2004-12-22	2.854756857	3.139353616	0.803487975759	2.312811642	11.1430311794	13.308442218	1.28875952878554	-0.958498885865531	1.28875952878554	0	-1.25877037666256	1.45334111871268	0.913609609994182	108.440081092638	0.216009193271594	0.151280296431673	3.74281474327194	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045210	cancer	2004-12-14	2.858913271	3.174421172	0.8096502751554	2.312811642	11.181568311	12.989291558	1.37444912030896	-0.725749257528725	1.37444912030895	0	-1.08800939187284	-0.524566133612947	0.924400990376236	109.663764747436	0.735286527256055	0.631309207556903	2.66786238587786	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045211	cancer	2004-12-21	3.04456986	2.833630439	1.0849047340068	2.312811642	10.9623567178	13.138337878	5.20198826223298	-2.98763817976719	5.20198826223297	0	-2.05935276845581	0.399134908585888	0.902905106438348	107.427943080435	-0.299087659151848	-0.245763094645456	5.39116757245284	20.5150056524329	MASS_cov.rob_mve	TRUE	FALSE	FALSE	FALSE	1	FALSE
GSM1045212	cancer	2004-12-15	2.762917006	3.226472942	0.6673262126664	2.312811642	11.6443128552	13.574406708	-0.60463206256256	-0.380272369382518	-0.60463206256256	0	0.962447162441374	3.10163190912523	0.884460551499411	105.514493661005	-1.1866329940516	-0.996374609068485	10.4231073688195	20.5150056524329	MASS_cov.rob_mve	TRUE	FALSE	FALSE	FALSE	1	FALSE
GSM1045213	cancer	2004-12-20	2.887663729	3.2034642825	0.8522757041862	2.312811642	11.0239007704	12.941117098	1.96717520633675	-0.532984949271266	1.96717520633675	0	-1.78664635275755	-0.82312297761531	0.914345143005797	109.362245146354	0.251402776650806	0.513028534914912	4.64047154384107	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045214	cancer	2004-12-22	2.838369604	3.2742198235	0.7791922344612	2.312811642	11.2963418708	12.906695598	0.950916134032056	-0.0633677945850551	0.950916134032055	0	-0.579438948625897	-1.03644710010318	0.861363486459836	103.549328589197	-2.29805543789026	-1.76727323626118	37.7782989297843	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045215	cancer	2004-12-15	2.760471795	3.466460429	0.6637009428378	2.312811642	11.5101208702	13.067795968	-0.655043097598666	1.21256741690693	-0.655043097598666	0	0.367832188308368	-0.0380421769382344	0.923681539586947	110.193499485303	0.700666814617936	0.839114540582779	4.07810372181701	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
GSM1045216	cancer	2004-12-14	2.758072404	3.4470555965	0.6601436057412	2.312811642	11.6328575854	13.025028478	-0.704509496926299	1.08377408005982	-0.704509496926298	0	0.911687983673638	-0.303089815049857	0.904455185599914	108.252655849804	-0.224498408658814	0.0777567718815925	7.42033368349475	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	FALSE	FALSE	0	FALSE
