gsm_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pca_feature_set
GSM1045215	-7.89984419961776	-23.8850525218469	-28.3628114136927	-26.5451035820014	-11.6569852911441	-17.5197901699207	-1.01847013315725	-25.506237411953	14.3241112811678	-11.5407782438768	top5000_MAD
GSM1045216	-6.31802613025374	4.68189773619331	-65.4856517259915	-15.035439065678	-7.21552855868107	-5.0155750517306	-15.1849572912872	6.73715030573709	3.68359661548338	7.78518757155295	top5000_MAD
GSM1045217	52.5796347088238	74.1033397219576	58.0944796491215	1.53331342685718	4.84091970432888	-21.8685826673479	6.61663021909365	-10.1283559991071	-34.9678063204345	-4.97268135563022	top5000_MAD
GSM1045218	19.1215145519914	7.94726711392497	-49.4220955242949	33.0469680432225	48.3638189457616	16.6586424219241	-5.47620303360169	25.6132105879178	6.66318200742503	16.8429802735647	top5000_MAD
GSM1045219	11.8967069173701	4.62766120520956	-39.1928950306362	-0.617670997444221	28.7109313095699	15.4576024873713	-4.92519115875401	25.8693003176367	6.26501786499611	15.9954964196786	top5000_MAD
GSM1045220	9.92500103240724	-23.5897739399226	-22.6625765741964	-30.003167427033	9.5360590123628	14.4078218858136	18.0706224174985	16.0049298456011	-10.215378681404	5.30944142084759	top5000_MAD
GSM1045221	34.220328776836	67.6549549877581	-10.4874782666731	13.0785564722701	21.3878614139003	-8.65504898313608	-1.79470332641695	-18.5393242830047	4.65771455546173	3.3152971392607	top5000_MAD
GSM1045222	15.2771054101595	5.47383376244197	-5.9543112117787	-25.9218237138851	6.14864989628181	0.908579683076641	6.77760870123385	19.9000853079164	-6.1239173373863	7.91012200616019	top5000_MAD
GSM1045223	-34.261637015169	-36.5930613104913	6.47660432807286	-6.02764951301204	11.6256918763692	-14.1249101925052	-5.86857673847584	16.1877305029208	2.9274710850047	10.0965960909065	top5000_MAD
GSM1045224	25.0935499108457	14.9296879365517	-20.8300514831342	30.943485339225	-25.9166735929435	-52.095995149098	-31.8249665500545	18.7988985179304	-6.1049789484797	-0.903253291058609	top5000_MAD
GSM1045225	23.3056707697791	39.5303766364006	-23.6607071615015	2.3773213964301	20.8560224766216	7.44572567178086	-0.145535220322452	-16.7579853117235	6.02706291597045	-11.6186684388022	top5000_MAD
GSM1045226	6.3132659457841	-25.5141504587014	26.998161989709	-8.54833363704441	-11.8459423351218	-8.42473461724669	-5.96566163142508	-6.11890554077788	7.51548932146313	8.36268408070174	top5000_MAD
GSM1045227	31.4478300109317	7.50506958354703	-29.3177058504852	24.8430959745312	-2.75905865897964	-13.8008906128654	14.5804104730909	6.30091963662492	-13.0073735320928	-20.5489353189454	top5000_MAD
GSM1045228	23.3135141141032	-16.3603981918214	32.2729353493077	7.27586462028474	-5.98121594058726	-14.233225347387	-0.820464395651501	-4.60932270942647	-11.6694917576128	8.48857972486706	top5000_MAD
GSM1045229	1.15706257223747	12.4656543374753	-35.0590045909969	-10.0056844023705	1.86343077689624	-29.5446798055525	-1.72831964637061	-2.38308987425442	2.43289097636844	3.26913527384676	top5000_MAD
GSM1045230	7.12220575934548	-41.8101274287274	-20.29336152041	-14.0836581640126	-7.52232726310865	14.6577231496885	5.57379728974736	2.98198838026545	-0.101452753500809	15.1554430033142	top5000_MAD
GSM1045231	23.5317500063622	-12.1317520542754	-46.8785183205253	-13.4352724930168	-20.3529583712688	-21.3046179136722	6.76196595747711	3.98275329451658	-28.0035148796047	-2.573549289054	top5000_MAD
GSM1045232	28.8190466403386	-0.798228178479135	1.18429086471741	8.45783481261106	-20.6594764058722	7.19587921748896	19.6757189403423	10.9466070912895	6.22576059770994	6.64120855864186	top5000_MAD
GSM1045233	14.5945698931363	-10.2972769035604	5.47120523988373	-14.6098728856932	1.38984232259364	-10.9572313398059	6.20143047369761	-4.87165077940036	13.4218644591001	-8.3323021481612	top5000_MAD
GSM1045234	13.3429507364925	-21.6198555409791	-24.3606050910841	2.24720683732529	18.9641463888832	4.66828673346442	46.20349761296	-5.8459409968674	3.4514718042336	-3.97411684498329	top5000_MAD
