resource	entrez_id
GO_BP	10797
GO_BP	10798
GO_BP	10799
GO_BP	108
GO_BP	1080
GO_BP	10800
GO_BP	10801
GO_BP	10802
GO_BP	10803
GO_BP	10804
GO_BP	10806
GO_BP	10807
GO_BP	10808
GO_BP	10809
GO_BP	1081
GO_BP	10810
GO_BP	10811
GO_BP	10813
GO_BP	10814
GO_BP	10815
GO_BP	10817
GO_BP	10818
GO_BP	10824
GO_BP	10825
GO_BP	10826
GO_BP	10838
GO_BP	1084
GO_BP	10840
GO_BP	10841
GO_BP	10842
GO_BP	10844
GO_BP	10845
GO_BP	10846
GO_BP	10847
GO_BP	10848
GO_BP	10849
GO_BP	10850
GO_BP	10855
GO_BP	10856
GO_BP	10857
GO_BP	10858
GO_BP	10861
GO_BP	10863
GO_BP	10864
GO_BP	10865
GO_BP	10867
GO_BP	10868
GO_BP	10869
GO_BP	1087
GO_BP	10870
GO_BP	10873
GO_BP	10874
GO_BP	10875
GO_BP	10876
GO_BP	10877
GO_BP	10878
GO_BP	10879
GO_BP	1088
GO_BP	10880
GO_BP	10881
GO_BP	10882
GO_BP	10884
GO_BP	10885
GO_BP	10886
GO_BP	10888
GO_BP	1089
GO_BP	10890
GO_BP	10891
GO_BP	10892
GO_BP	10893
GO_BP	10894
GO_BP	10897
GO_BP	10898
GO_BP	10899
GO_BP	109
GO_BP	10900
GO_BP	10902
GO_BP	10904
GO_BP	10905
GO_BP	10906
GO_BP	10907
GO_BP	10908
GO_BP	10910
GO_BP	10911
GO_BP	10912
GO_BP	10913
GO_BP	10914
GO_BP	10915
GO_BP	10916
GO_BP	10917
GO_BP	10919
GO_BP	10920
GO_BP	10921
GO_BP	10923
GO_BP	10924
GO_BP	10926
GO_BP	10927
GO_BP	10928
GO_BP	10929
GO_BP	10930
GO_BP	10933
GO_BP	10935
GO_BP	10936
GO_BP	10938
GO_BP	10939
GO_BP	10940
GO_BP	10942
GO_BP	10943
GO_BP	10944
GO_BP	10945
GO_BP	10946
GO_BP	10947
GO_BP	10948
GO_BP	10949
GO_BP	10950
GO_BP	10951
GO_BP	10952
GO_BP	10953
GO_BP	10954
GO_BP	10955
GO_BP	10956
GO_BP	10957
GO_BP	10959
GO_BP	10960
GO_BP	10961
GO_BP	10962
GO_BP	10963
GO_BP	10964
GO_BP	10966
GO_BP	10969
GO_BP	10971
GO_BP	10972
GO_BP	10973
GO_BP	10974
GO_BP	10975
GO_BP	10978
GO_BP	10979
GO_BP	10980
GO_BP	10981
GO_BP	10982
GO_BP	10983
GO_BP	10985
GO_BP	10987
GO_BP	10988
GO_BP	10989
GO_BP	10990
GO_BP	10991
GO_BP	10992
GO_BP	10993
GO_BP	10994
GO_BP	10998
GO_BP	10999
GO_BP	11000
GO_BP	11001
GO_BP	11004
GO_BP	11005
GO_BP	11006
GO_BP	11007
GO_BP	11009
GO_BP	1101
GO_BP	11010
GO_BP	11011
GO_BP	11012
GO_BP	11013
GO_BP	11014
GO_BP	11015
GO_BP	11016
GO_BP	11017
GO_BP	11018
GO_BP	11019
GO_BP	1102
GO_BP	11020
GO_BP	11021
GO_BP	11022
GO_BP	11024
GO_BP	11026
GO_BP	11027
GO_BP	1103
GO_BP	11030
GO_BP	11031
GO_BP	11033
GO_BP	11034
GO_BP	11035
GO_BP	11036
GO_BP	11037
GO_BP	1104
GO_BP	11040
GO_BP	11041
GO_BP	11043
GO_BP	11044
GO_BP	11045
GO_BP	11046
GO_BP	11047
GO_BP	1105
GO_BP	11051
GO_BP	11052
GO_BP	11054
GO_BP	11055
GO_BP	11056
GO_BP	11057
GO_BP	11059
GO_BP	1106
GO_BP	11060
GO_BP	11061
GO_BP	11062
GO_BP	11063
GO_BP	11064
GO_BP	11065
GO_BP	11066
GO_BP	11067
GO_BP	11068
GO_BP	1107
GO_BP	11070
GO_BP	11073
GO_BP	11074
GO_BP	11075
GO_BP	11076
GO_BP	11077
GO_BP	11078
GO_BP	11079
GO_BP	1108
GO_BP	11080
GO_BP	11081
GO_BP	11083
GO_BP	11085
GO_BP	11086
GO_BP	1109
GO_BP	11091
GO_BP	11092
GO_BP	11093
GO_BP	11094
GO_BP	11095
GO_BP	11096
GO_BP	11097
GO_BP	11098
GO_BP	11099
GO_BP	111
GO_BP	11100
GO_BP	11101
GO_BP	11102
GO_BP	11103
GO_BP	11104
GO_BP	11105
GO_BP	11107
GO_BP	11108
GO_BP	1111
GO_BP	11112
GO_BP	11113
GO_BP	11116
GO_BP	11117
GO_BP	11118
GO_BP	11119
GO_BP	1112
GO_BP	11120
GO_BP	11122
GO_BP	11123
GO_BP	11124
GO_BP	11126
GO_BP	11127
GO_BP	11128
GO_BP	11129
GO_BP	1113
GO_BP	11130
GO_BP	11131
GO_BP	11132
GO_BP	11133
GO_BP	11135
GO_BP	11136
GO_BP	11137
GO_BP	11138
GO_BP	1114
GO_BP	11140
GO_BP	11141
GO_BP	11142
GO_BP	11143
GO_BP	11144
GO_BP	11145
GO_BP	11146
GO_BP	11148
GO_BP	11149
GO_BP	11151
GO_BP	11152
GO_BP	11153
GO_BP	11154
GO_BP	11155
GO_BP	11156
GO_BP	11157
GO_BP	1116
GO_BP	11160
GO_BP	11161
GO_BP	11162
GO_BP	11163
GO_BP	11164
GO_BP	11165
GO_BP	11166
GO_BP	11167
GO_BP	11168
GO_BP	11169
GO_BP	1117
GO_BP	11170
GO_BP	11171
GO_BP	11172
GO_BP	11173
GO_BP	11174
GO_BP	11176
GO_BP	11177
GO_BP	11178
GO_BP	11179
GO_BP	1118
GO_BP	11180
GO_BP	11181
GO_BP	11182
GO_BP	11183
GO_BP	11184
GO_BP	11185
GO_BP	11186
GO_BP	11187
GO_BP	11188
GO_BP	11189
GO_BP	1119
GO_BP	11190
GO_BP	11193
GO_BP	11194
GO_BP	11196
GO_BP	11197
GO_BP	11198
GO_BP	112
GO_BP	1120
GO_BP	11200
GO_BP	11201
GO_BP	11202
GO_BP	1121
GO_BP	11211
GO_BP	11212
GO_BP	11213
GO_BP	11214
GO_BP	11215
GO_BP	11216
GO_BP	11218
GO_BP	11219
GO_BP	1122
GO_BP	11221
GO_BP	11222
GO_BP	11223
GO_BP	11224
GO_BP	11226
GO_BP	11227
GO_BP	11228
GO_BP	1123
GO_BP	11230
GO_BP	11231
GO_BP	11232
GO_BP	11234
GO_BP	11235
GO_BP	11236
GO_BP	11238
GO_BP	112398
GO_BP	112399
GO_BP	1124
GO_BP	11240
GO_BP	11243
GO_BP	11244
GO_BP	11245
GO_BP	112464
GO_BP	11247
GO_BP	112476
GO_BP	11248
GO_BP	112483
GO_BP	112487
GO_BP	11249
GO_BP	112495
GO_BP	11250
GO_BP	11251
GO_BP	11252
GO_BP	11253
GO_BP	11254
GO_BP	11255
GO_BP	112574
GO_BP	11258
GO_BP	11259
GO_BP	11260
GO_BP	112609
GO_BP	11261
GO_BP	112616
GO_BP	11262
GO_BP	11264
GO_BP	11266
GO_BP	11267
GO_BP	11269
GO_BP	112703
GO_BP	11272
GO_BP	112724
GO_BP	11273
GO_BP	11274
GO_BP	112744
GO_BP	11275
GO_BP	112752
GO_BP	112755
GO_BP	11276
GO_BP	11277
