term_id	p_value	bh_fdr	log2err	ES	NES	intersected_set_size	leading_edge_ids	status	collection	term_name	original_set_size	direction	rank_statistic	rank_gene_count	rank_tie_member_fraction	score_exponent	source_snapshot	leading_edge_symbols
R-HSA-9818027	0.759259259259259	0.87115309045408	0.0653834195468773	0.283906288638326	0.799565772292204	18	84181;23657;1387;2936;2033;7975;140809	completed	Reactome_preranked_GSEA_fallback	NFE2L2 regulating anti-oxidant/detoxification enzymes	20	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CHD6;SLC7A11;CREBBP;GSR;EP300;MAFK;SRXN1
R-HSA-5689901	0.760942760942761	0.871926868573977	0.0502948063662358	-0.271084658064896	-0.810701720319841	28	114548;8850;84142;7311;7316;57559;6233	completed	Reactome_preranked_GSEA_fallback	Metalloprotease DUBs	37	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	NLRP3;KAT2B;ABRAXAS1;UBA52;UBC;STAMBPL1;RPS27A
R-HSA-5357769	0.76271186440678	0.873222042415467	0.0609039347452418	0.293054180674333	0.786798278344351	15	219699;9500;8772;7186;1613;8737	completed	Reactome_preranked_GSEA_fallback	Caspase activation via extrinsic apoptotic signalling pathway	17	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	UNC5B;MAGED1;FADD;TRAF2;DAPK3;RIPK1
R-HSA-187037	0.763803680981595	0.873632923235347	0.0458620343117985	-0.222447302759567	-0.861614319523689	112	5519;5290;2354;2353;8660;5906;4915;1398;2152;1958;6654;53358;1848;1845;5604;4664;3727;3400;4208;1960;6197;1959;3726;1211;3397;5295;1386;5516	completed	Reactome_preranked_GSEA_fallback	Signaling by NTRK1 (TRKA)	115	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PPP2R1B;PIK3CA;FOSB;FOS;IRS2;RAP1A;NTRK2;CRK;F3;EGR1;SOS1;SHC3;DUSP6;DUSP3;MAP2K1;NAB1;JUND;ID4;MEF2C;EGR3;RPS6KA3;EGR2;JUNB;CLTA;ID1;PIK3R1;ATF2;PPP2CB
R-HSA-9648002	0.764988009592326	0.873632923235347	0.0667426134241917	0.27506096478511	0.817495419100662	22	598;58489;3845;10434	completed	Reactome_preranked_GSEA_fallback	RAS processing	26	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	BCL2L1;ABHD17C;KRAS;LYPLA1
R-HSA-844456	0.764830508474576	0.873632923235347	0.0607719451853533	0.292713969325707	0.785884871469362	15	29108;351;3326	completed	Reactome_preranked_GSEA_fallback	The NLRP3 inflammasome	16	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PYCARD;APP;HSP90AB1
R-HSA-1793185	0.767441860465116	0.874973330488585	0.0492917662312669	-0.2558481208655	-0.811982102654789	37	56548;92126;10090;3373;29940;1634;79411;9469;1464;55790	completed	Reactome_preranked_GSEA_fallback	Chondroitin sulfate/dermatan sulfate metabolism	37	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CHST7;DSEL;UST;HYAL1;DSE;DCN;GLB1L;CHST3;CSPG4;CSGALNACT1
R-HSA-3134975	0.766949152542373	0.874973330488585	0.060640400949416	0.29171587258731	0.783205159500796	15	3661;51428;29110;340061	completed	Reactome_preranked_GSEA_fallback	Regulation of innate immune responses to cytosolic DNA	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	IRF3;DDX41;TBK1;STING1
R-HSA-9912633	0.768518518518519	0.875470679012346	0.0647943366000727	0.281025008904813	0.79145121918961	18	5721;5720;5696;5692;5699;5689	completed	Reactome_preranked_GSEA_fallback	Antigen processing: Ub, ATP-independent proteasomal degradation	19	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PSME2;PSME1;PSMB8;PSMB4;PSMB10;PSMB1
R-HSA-2028269	0.770175438596491	0.876627664081102	0.0516355964484201	-0.289002722355173	-0.776442492382372	18	51421;26524;10413;154810	completed	Reactome_preranked_GSEA_fallback	Signaling by Hippo	18	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	AMOTL2;LATS2;YAP1;AMOTL1
