pca_feature_set	PC	variance_explained
top1000_MAD	44	0.00374457466867316
top1000_MAD	45	0.0036305863331071
top1000_MAD	46	0.00350867946259935
top1000_MAD	47	0.00340886007282244
top1000_MAD	48	0.0033616779732426
top1000_MAD	49	0.00330934757691027
top1000_MAD	50	0.00319385043573552
top1000_MAD	51	0.00314957132449399
top1000_MAD	52	0.00312385337414282
top1000_MAD	53	0.00300730838534339
top1000_MAD	54	0.00300668438831156
top1000_MAD	55	0.00293225303384113
top1000_MAD	56	0.00280959192148856
top1000_MAD	57	0.00276597783608247
top1000_MAD	58	0.00271341844357836
top1000_MAD	59	0.00265773916490677
top1000_MAD	60	0.00260438425455104
top1000_MAD	61	0.00253178507209491
top1000_MAD	62	0.00248920493011321
top1000_MAD	63	0.00243987225196793
top1000_MAD	64	0.00234250083776918
top1000_MAD	65	0.0023286049156656
top1000_MAD	66	0.00227812265645444
top1000_MAD	67	0.00222025195427863
top1000_MAD	68	0.00220171815273452
top1000_MAD	69	0.00214270310055589
top1000_MAD	70	0.0021016932780179
top1000_MAD	71	0.00204352465801108
top1000_MAD	72	0.00200964276373701
top1000_MAD	73	0.00195283151866364
top1000_MAD	74	0.00192402600443313
top1000_MAD	75	0.00184676943858757
top1000_MAD	76	0.00181119999826099
top1000_MAD	77	0.00180014684852639
top1000_MAD	78	0.00178063441736218
top1000_MAD	79	0.00171614563552795
top1000_MAD	80	0.00165967284262383
top1000_MAD	81	0.00163907721798638
top1000_MAD	82	0.00160682758175138
top1000_MAD	83	0.00157378349316246
top1000_MAD	84	0.00153019548691799
top1000_MAD	85	0.00149005080915929
top1000_MAD	86	0.00146416900238265
top1000_MAD	87	0.00138294134962979
top1000_MAD	88	0.00134399592483591
top1000_MAD	89	0.00131858781595591
top1000_MAD	90	0.00130463593385603
top1000_MAD	91	0.00126762510317094
top1000_MAD	92	0.00125554002351925
top1000_MAD	93	0.00121651194507576
top1000_MAD	94	0.00117640572387895
top1000_MAD	95	0.00114733890835589
top1000_MAD	96	0.00109291052407287
top1000_MAD	97	0.00107748518209234
top1000_MAD	98	0.00104009265404618
top1000_MAD	99	0.00101620328309762
top1000_MAD	100	0.000982286869009789
top1000_MAD	101	0.000952410997620951
top1000_MAD	102	0.000938475876079339
top1000_MAD	103	0.000900612239668232
top1000_MAD	104	0.000828747913643263
top1000_MAD	105	0.000801482155663077
top1000_MAD	106	0.000788815534322999
top1000_MAD	107	0.000750021188205396
top1000_MAD	108	0.000714871957433587
top1000_MAD	109	0.000658277947680886
top1000_MAD	110	0.000618223580616587
top1000_MAD	111	0.00059506003792081
top1000_MAD	112	0.000538078706791075
top1000_MAD	113	0.000525526575335477
top1000_MAD	114	0.000464082992510489
top1000_MAD	115	0.000423159969494605
top1000_MAD	116	0.000401299025966348
top1000_MAD	117	0.000373688505938834
top1000_MAD	118	0.000306854476567898
top1000_MAD	119	0.000225521970755161
top1000_MAD	120	0.000185616650278102
top1000_MAD	121	2.82001226173846e-30
all_eligible_genes	1	0.177924215468332
all_eligible_genes	2	0.102480572428847
all_eligible_genes	3	0.08134612119898
all_eligible_genes	4	0.0492989735414416
all_eligible_genes	5	0.0421539160830783
all_eligible_genes	6	0.0330073323500258
all_eligible_genes	7	0.0268725735273681
all_eligible_genes	8	0.0200825713450233
all_eligible_genes	9	0.0189472015760418
all_eligible_genes	10	0.0154861457461538
