probe_id	entrez_count	mapped_entrez_ids	probe_variance	pooled_median_expression	is_constant	is_affx_control	suffix_class	mapping_status	primary_eligible	many_probes_per_gene
214913_at	1	9508	1.03750210709762	2.350178567	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214914_at	1	220965	0.00872602699224094	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214915_at	1	149076	0.0846933177459506	2.32633585	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214916_x_at	10	152098;28396;28442;28477;3493;3494;3500;3502;3507;50802	1.93829359923009	3.106611157	FALSE	FALSE	x_at	one_to_many	FALSE	FALSE
214917_at	1	5562	0.387334439637362	3.21150709	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214918_at	1	4670	0.386927254192059	3.99662641	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214919_s_at	2	404734;8637	0.857617840746411	6.907675451	FALSE	FALSE	s_at	one_to_many	FALSE	FALSE
214920_at	1	221981	0.71381340181597	4.07264531	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214921_at	1	3778	4.07507113641782e-05	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214922_at	1	83744	0.0189587006952107	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	FALSE
214923_at	1	51382	0.0468401100036089	2.32712916	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214924_s_at	1	22906	0.763320204972882	7.353477345	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214925_s_at	1	6709	0.666783272737552	5.067595949	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214926_at	1	6709	0.0002946762897545	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214927_at	1	9358	1.84388656145578	6.355180064	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214928_at	1	23363	0.000212070300847384	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214929_s_at	1	84162	0.339885790152731	2.846529243	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214930_at	1	26050	0.402901603404129	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214931_s_at	1	6733	0.17949237010326	3.563139597	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
214932_at	1	57498	0.0938883500360833	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
214933_at	1	773	0.932546241054915	4.480879308	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
