entrez_id	moderated_t	rank
91544	2.14655761150711	3209
79414	2.14585039102078	3210
196394	2.14531204575236	3211
494558	2.14432516808847	3212
1	2.14331237695063	3213
2224	2.14263536995265	3214
26271	2.14218247950524	3215
129080	2.14084937606813	3216
54853	2.14062548098046	3217
7503	2.13844415666264	3218
30010	2.13810473853607	3219
57190	2.13545100836744	3220
285103	2.13497037530304	3221
727699	2.13496167979599	3222
1573	2.1329888094321	3223
6780	2.13193822069164	3224
101927391	2.1314543334888	3225
83607	2.13088922498478	3226
10557	2.13057098373348	3227
51491	2.12991337348479	3228
140831	2.12953151911912	3229
55008	2.12924063725597	3230
25844	2.12885663957747	3231
2068	2.1282924588668	3232
3110	2.12742972203918	3233
6002	2.1268535924618	3234
222229	2.12677104646058	3235
9187	2.12659035704518	3236
5634	2.12621635550738	3237
151050	2.12559516001745	3238
9678	2.1255542989073	3239
399717	2.12518562993188	3240
90488	2.12436017648578	3241
284391	2.1238001076349	3242
4524	2.12282028747117	3243
171568	2.12254685052389	3244
400891	2.1222696783474	3245
23438	2.12146728867576	3246
162073	2.12096907796745	3247
84874	2.120523879754	3248
22828	2.12049589659037	3249
8924	2.12040561461151	3250
113277	2.12024924679736	3251
84448	2.11970126999687	3252
79697	2.11950244373383	3253
93	2.11930596158709	3254
2960	2.11877498031834	3255
8556	2.11872191973417	3256
166793	2.11828025838243	3257
355	2.11696661004798	3258
63926	2.11620521416732	3259
284611	2.11620022400738	3260
90324	2.11582965108171	3261
8851	2.11525357838941	3262
51265	2.11453570720758	3263
9413	2.11395398579178	3264
79269	2.11367991044982	3265
283489	2.11271826743603	3266
24149	2.11186426462326	3267
25806	2.11104211082638	3268
7559	2.11053924176591	3269
914	2.11017526351263	3270
84934	2.11009274102023	3271
23174	2.10841492624318	3272
9054	2.10795584569997	3273
4893	2.10795471479219	3274
27132	2.10659499630044	3275
3996	2.10604176419918	3276
55761	2.10585834187315	3277
57634	2.10547175440732	3278
84254	2.10489275528078	3279
29920	2.10479281945332	3280
121441	2.10333006680158	3281
26160	2.10285639156672	3282
4744	2.10136849973942	3283
54955	2.10129003537449	3284
1000	2.09991613561511	3285
27040	2.09884898758675	3286
6045	2.09881165212475	3287
56052	2.09825415086438	3288
4771	2.09818866801858	3289
84283	2.09799306447487	3290
109729141	2.09773509041878	3291
55262	2.09706094811963	3292
9267	2.09672082075039	3293
2104	2.09656823642807	3294
85377	2.0957551744112	3295
150290	2.09548949792796	3296
9455	2.09520701692035	3297
157695	2.09514885086339	3298
392	2.09484134002306	3299
10156	2.09444260707244	3300
51151	2.09417229662991	3301
200895	2.09388173781171	3302
93624	2.09365790711391	3303
5058	2.09308006146984	3304
55651	2.09296871564231	3305
5380	2.09287094110521	3306
100506696	2.0926374658466	3307
255403	2.09261115444918	3308
11108	2.09249564138349	3309
79160	2.09222552697829	3310
56924	2.09218130041091	3311
113251	2.09183158559845	3312
4942	2.09067227752525	3313
57794	2.09064205270389	3314
8635	2.0904815681825	3315
101927360	2.08958288220774	3316
6683	2.08898825001059	3317
8438	2.08824426845	3318
79651	2.08776933516761	3319
51633	2.08768160650125	3320
285547	2.08758356912217	3321
9123	2.08723141252136	3322
100505854	2.087037478442	3323
283149	2.08532311189605	3324
113730	2.08459903427682	3325
100874292	2.08432532007325	3326
2125	2.08401416909514	3327
10195	2.08323692193182	3328
55206	2.0824776966242	3329
6047	2.08209836993993	3330
126626	2.08148465256394	3331
10564	2.08114556304352	3332
29100	2.08104666202429	3333
196294	2.08082972773525	3334
84221	2.08037121544051	3335
79830	2.080265013456	3336
399664	2.08019298534349	3337
10733	2.08002885323836	3338
85302	2.08000006719359	3339
27106	2.07995513886913	3340
10307	2.07976817555439	3341
51734	2.07925619699005	3342
55540	2.0780657293304	3343
83759	2.07780386841128	3344
91661	2.07758664642601	3345
90075	2.07633776832754	3346
142678	2.07563862137016	3347
63939	2.07513589534313	3348
55113	2.07410305902766	3349
55783	2.07337775256086	3350
23682	2.07257957112692	3351
101927612	2.0723567015076	3352
100505702	2.07210060653824	3353
10005	2.07128494428903	3354
64232	2.07096784971498	3355
55905	2.07091278389755	3356
6878	2.06973073173193	3357
9817	2.06950638458688	3358
9252	2.06923890811483	3359
5720	2.06812760315488	3360
80765	2.06618113345825	3361
10956	2.06602557368827	3362
8078	2.06567029692615	3363
836	2.06543509489213	3364
8728	2.06512130199155	3365
27143	2.06391153986254	3366
51690	2.06352284383654	3367
10985	2.06307033940651	3368
3225	2.0627493679687	3369
10206	2.06274768862428	3370
100287902	2.06215505685009	3371
100506603	2.06211340549575	3372
84936	2.06193271831962	3373
100505761	2.06026493425392	3374
8175	2.05913279268889	3375
26093	2.05761734094031	3376
51290	2.05735685321802	3377
23380	2.0564583796771	3378
51310	2.05503574168478	3379
128866	2.05475885364173	3380
57862	2.05416018005851	3381
126231	2.05402087555255	3382
6745	2.05304887430918	3383
1613	2.05185473265787	3384
55425	2.05090978556039	3385
26018	2.0502608208542	3386
84433	2.04985145265952	3387
7701	2.0485284376115	3388
22879	2.04842776003208	3389
285097	2.04840768937122	3390
27232	2.04795694333974	3391
10607	2.04681532650213	3392
388610	2.04664039954103	3393
56915	2.04581848010884	3394
23173	2.04498556593118	3395
2979	2.04481103722128	3396
10228	2.04397765858152	3397
201595	2.04332527097512	3398
4174	2.0431701687219	3399
54033	2.04272479014135	3400
2766	2.04233473133898	3401
400	2.04224321141848	3402
22807	2.04142051550092	3403
11113	2.04100317158199	3404
651430	2.04089044574853	3405
55161	2.04071440991434	3406
121457	2.04038438291438	3407
151188	2.03724588898715	3408
8208	2.03683183853074	3409
113178	2.03633926369642	3410
222236	2.03611158045564	3411
7988	2.03608524432212	3412
23353	2.03585154202877	3413
135398	2.03575685994217	3414
10189	2.03542576151648	3415
2674	2.03497071598196	3416
150737	2.0334886558464	3417
8764	2.03339577488342	3418
9765	2.03292643367806	3419
374378	2.03263845975729	3420
29980	2.032423541628	3421
10799	2.03176040723838	3422
64151	2.03135249703893	3423
163049	2.03082936213644	3424
8312	2.02981359957356	3425
80347	2.02941150537505	3426
222546	2.02936407662112	3427
84700	2.02910496080543	3428
3223	2.02907201345641	3429
51205	2.02872340634198	3430
100506282	2.02858488318381	3431
163859	2.02747623274258	3432
2651	2.02521436558327	3433
84848	2.02486693764791	3434
2803	2.02462181243911	3435
25780	2.02416844489586	3436
381	2.02416750068142	3437
81562	2.02415156397853	3438
84518	2.02344617299519	3439
55199	2.02303483434685	3440
7975	2.02241905305265	3441
5664	2.02205647227861	3442
57684	2.02165951992993	3443
5297	2.02109833316383	3444
8621	2.02035824901763	3445
147381	2.01980014850531	3446
7284	2.0197895595009	3447
64577	2.01944069595541	3448
8760	2.01925573909155	3449
8337	2.01919062325728	3450
5816	2.01896916809287	3451
6278	2.0178697163966	3452
10808	2.01444823156725	3453
4899	2.01408452428201	3454
8985	2.01378399314804	3455
2074	2.01266325484742	3456
28977	2.01262858838303	3457
5711	2.01261771861777	3458
26090	2.01198897836508	3459
79134	2.01189914669945	3460
7767	2.01189419997329	3461
29928	2.01176158779673	3462
254102	2.01097294667692	3463
6500	2.01079659475272	3464
7474	2.00991656573309	3465
4477	2.00962043373673	3466
80164	2.0095603748281	3467
51754	2.00757873268269	3468
26049	2.00726866709996	3469
196074	2.00662018261245	3470
6307	2.00648821918785	3471
642517	2.0062268503595	3472
55171	2.00576595193862	3473
23542	2.00512871704785	3474
23198	2.00456928302017	3475
112479	2.004463502045	3476
23469	2.00437092403819	3477
6448	2.00419468085774	3478
4947	2.00369938728716	3479
8558	2.0031211069089	3480
51434	2.00258403415893	3481
2091	2.00173110269353	3482
55228	2.00142786308964	3483
56992	2.00141745804726	3484
8737	2.00084366483385	3485
219844	2.00069709018034	3486
9731	1.99965844585738	3487
55636	1.99841474472937	3488
11070	1.99825653181636	3489
84865	1.99782509295548	3490
65057	1.9967220899096	3491
64320	1.99595972510628	3492
677824	1.99592139961371	3493
7037	1.99576430949532	3494
84964	1.99560042477216	3495
9050	1.99515736074658	3496
124808	1.99482635961841	3497
80195	1.99428929236635	3498
56257	1.99421393892555	3499
222194	1.99393709123598	3500
92659	1.9937085233325	3501
123775	1.99369561391589	3502
285513	1.99272935955491	3503
340895	1.99146888415579	3504
83696	1.9901846362626	3505
84618	1.99013220785945	3506
51096	1.9896485344187	3507
9928	1.98931877836072	3508
126917	1.98813288667789	3509
54470	1.98723796806928	3510
6493	1.98722023150638	3511
23341	1.98721707527614	3512
144233	1.98603105137414	3513
196996	1.98600919994724	3514
644815	1.9857605372704	3515
57586	1.98465055575743	3516
79149	1.98461413630541	3517
26470	1.98423630555536	3518
23279	1.98383263794235	3519
51163	1.98340600545815	3520
29984	1.98219932470984	3521
10360	1.98208784497173	3522
55287	1.98206680654395	3523
728537	1.98178215666064	3524
3607	1.97994767617913	3525
3659	1.97908419510239	3526
51714	1.97877365979898	3527
140460	1.97841434723709	3528
795	1.97831682576754	3529
471	1.97801794377301	3530
55092	1.97767674107979	3531
285489	1.97757697175129	3532
105369739	1.97735356040511	3533
51552	1.97722673466101	3534
162515	1.97663816697611	3535
114799	1.97583921374872	3536
100505782	1.97544545051973	3537
79623	1.97536795321176	3538
163131	1.97497941101631	3539
25909	1.97446688124642	3540
9358	1.97438580211845	3541
9158	1.97416356246388	3542
10181	1.97346010680048	3543
4319	1.97344784867399	3544
56986	1.97308221952359	3545
10802	1.97296934872099	3546
4322	1.97275473972787	3547
202020	1.97217458298429	3548
886	1.97183804281427	3549
100422781	1.97044935688605	3550
9966	1.96992839750908	3551
26585	1.96978252140846	3552
4238	1.96736314979459	3553
79183	1.96690323768024	3554
83856	1.96678852700699	3555
378	1.96662260441351	3556
1950	1.96573407190202	3557
11316	1.96545573864633	3558
9690	1.96431251085864	3559
254099	1.96353882492968	3560
11236	1.96346331901298	3561
101927482	1.9631062730064	3562
644873	1.96302252437246	3563
344758	1.96262006813352	3564
125170	1.96176436267039	3565
84640	1.96045999783272	3566
80124	1.96033591774941	3567
9543	1.95973505664949	3568
84947	1.95963089911649	3569
1824	1.95939261866228	3570
148103	1.95929134646941	3571
56970	1.95851322310496	3572
9826	1.95845006221888	3573
57139	1.95837305721216	3574
254065	1.95798635428546	3575
105377938	1.95754646493107	3576
6622	1.95735556832812	3577
54453	1.95647777295616	3578
80178	1.95574606327414	3579
389834	1.95527550144649	3580
23590	1.95505894546872	3581
54554	1.95427494508003	3582
3707	1.95411447395563	3583
4938	1.95350413087391	3584
729614	1.95288396066308	3585
64432	1.95072417090909	3586
4430	1.95025846355293	3587
1105	1.94991711289189	3588
114771	1.94974004787215	3589
8347	1.94859426822798	3590
64760	1.9480472813962	3591
8625	1.94680365083703	3592
10585	1.94665707293788	3593
64860	1.94641204388804	3594
317761	1.94612495137466	3595
84861	1.94570023028261	3596
54780	1.94533762399005	3597
116984	1.94528135690859	3598
7520	1.94479003607077	3599
64377	1.9442872883053	3600
54435	1.94405071137924	3601
1912	1.94396289976758	3602
134548	1.9435692662153	3603
199704	1.94353137233299	3604
101928673	1.94337105836934	3605
54925	1.9431129041469	3606
286151	1.94201579564531	3607
5328	1.94106382567272	3608
79832	1.94096331078314	3609
122786	1.94072929340494	3610
2710	1.94045074471328	3611
56980	1.93994286901823	3612
221491	1.93979040182266	3613
4065	1.93978734581037	3614
2058	1.93963604004814	3615
22905	1.93945929225034	3616
90120	1.93904137013395	3617
55110	1.93863617337733	3618
8509	1.93845130535483	3619
221442	1.93827858299947	3620
283871	1.93805851424947	3621
79665	1.9372860486409	3622
9667	1.93687520263948	3623
391059	1.93680605499392	3624
51545	1.93643959104566	3625
1374	1.93599441093241	3626
168620	1.93592730039212	3627
401145	1.9358837064854	3628
23396	1.93567763003903	3629
1020	1.93526483929433	3630
3642	1.93430528248891	3631
8573	1.93369161463409	3632
617	1.93260353286156	3633
9306	1.93255551060151	3634
26013	1.93214885122286	3635
4356	1.93208940934831	3636
10498	1.93117375589309	3637
7561	1.93073348563111	3638
5154	1.93062719680359	3639
2870	1.93025717734665	3640
23357	1.93023316706373	3641
23505	1.92996844147181	3642
83638	1.92945516617409	3643
80746	1.92878368460546	3644
84179	1.92807199682339	3645
406886	1.92770735845173	3646
100506858	1.92737363932259	3647
8775	1.92646145996682	3648
51107	1.92612537859807	3649
11068	1.92571680046648	3650
127845	1.92565322182069	3651
8720	1.92559880326816	3652
27	1.92544912581286	3653
23476	1.92455745294604	3654
5991	1.92428402675628	3655
22906	1.92412061913782	3656
7021	1.92377501411974	3657
84897	1.92320669045961	3658
9175	1.92308680463488	3659
9100	1.92242941564893	3660
26086	1.92136612727655	3661
2168	1.92135005011614	3662
8943	1.92098183029543	3663
85451	1.92067398608453	3664
6720	1.92044829825453	3665
81622	1.92013121083551	3666
55186	1.91979669844366	3667
55135	1.91979510334034	3668
90625	1.91912711330766	3669
56342	1.91912110538173	3670
55607	1.91878586499119	3671
925	1.91854658143671	3672
3487	1.91827836190784	3673
58478	1.91697487277404	3674
4615	1.91696506456731	3675
100874314	1.91519993971826	3676
221960	1.91516381740561	3677
163702	1.9143532838312	3678
84920	1.91433597966782	3679
1388	1.91401729873916	3680
28964	1.91311735261571	3681
